clip_no,src_in,src_out,src_in_tc60,src_out_tc60,duration_sec,transcript
25,0:10:58.010,0:11:05.090,00:10:58:01,00:11:05:05,7.080,"even in the past the barrier to entry to get into e -commerce or drop shipping was so small it was basically free"
26,0:11:33.320,0:11:39.874,00:11:33:19,00:11:39:52,6.554,"and now in 2026 going into 2027 AI has made that even easier"
27,0:11:51.870,0:11:56.270,00:11:51:52,00:11:56:16,4.400,"what you're missing is the proper information and the proper AI systems"
28,0:12:05.000,0:12:13.130,00:12:05:00,00:12:13:08,8.130,"and that is the difference between what me and that's the difference between what had me stuck at two years not having any results"
29,0:12:20.480,0:12:30.200,00:12:20:29,00:12:30:12,9.720,"and that same thing is what had me stuck at two years not having any results versus me now being able to grow my business to multiple six figures."
30,0:12:41.229,0:12:48.400,00:12:41:14,00:12:48:24,7.171,"And that's the difference from, and that's exactly the difference from me being stuck for two years not having any results, from me taking"
31,0:12:54.446,0:12:57.564,00:12:54:27,00:12:57:34,3.118,"And that's the same thing that kept me stuck for two years."
32,0:13:37.200,0:13:47.880,00:13:37:12,00:13:47:53,10.680,"that is the exact difference that kept me stuck for a couple of years not having any results to me now being able to walk somebody through this entire process for within a couple of months to a couple of weeks"
33,0:13:56.912,0:14:03.150,00:13:56:55,00:14:03:09,6.238,"and there is four mechanism and there's only four mechanisms that build a real brand"
34,0:14:12.861,0:14:18.533,00:14:12:52,00:14:18:32,5.672,"first you have the offer and this is the perceive value that the customer has while they're viewing your product."
35,0:14:19.698,0:14:27.227,00:14:19:42,00:14:27:14,7.529,"How much value do they think? How much value does the customer sees while they're viewing your product?"
36,0:14:43.888,0:14:49.220,00:14:43:53,00:14:49:13,5.332,"then you have your storefront on your website. This is what's gonna actually be converting people into sales."
37,0:15:07.964,0:15:19.257,00:15:07:58,00:15:19:15,11.293,"think about your website like an actual store when people come into a store everything that they see what are in those four walls is what's gonna get them to either convert to a sale or walk out the door"
38,0:15:24.635,0:15:32.802,00:15:24:38,00:15:32:48,8.167,"then you have the engine this is what's actually driving the sales this is your content and this is your marketing and which is one of the most important parts"
39,0:15:36.563,0:15:42.980,00:15:36:34,00:15:42:59,6.417,"this is one of the key parts that I was able to use AI to help me market my brand and get more sales"
40,0:15:47.344,0:15:53.902,00:15:47:21,00:15:53:54,6.558,"because your content and your marketing is what's actually getting people to be aware of your product"
41,0:16:11.790,0:16:19.386,00:16:11:47,00:16:19:23,7.596,"this is one of the key things that allowed me to have the success that I have now because AI made marketing my brand ten times easier."
42,0:16:31.600,0:16:35.040,00:16:31:36,00:16:35:02,3.440,"I don't have to send my products to influencers and they end up ghosting"
43,0:16:45.973,0:16:52.220,00:16:45:58,00:16:52:13,6.247,"I'm doing all of this from behind my computer."
44,0:17:02.930,0:17:12.819,00:17:02:56,00:17:12:49,9.889,"the last part is the operations in another very important one This is your fulfillment your manufacturers your customer service. This is the back end to your business That's gonna"
45,0:17:20.310,0:17:33.181,00:17:20:19,00:17:33:11,12.871,"lastly you have your operations. This is your manufacturer. This is your fulfillment. This is your customer service This is the backbones behind your business That's gonna actually allow you to scale to those higher six seven figure numbers last"
46,0:17:40.930,0:17:48.250,00:17:40:56,00:17:48:15,7.320,"you have the operations This is your inventory, your cash flow, your fulfillment, your customer service, your manufacturer."
47,0:17:49.719,0:18:05.180,00:17:49:43,00:18:05:11,15.461,"And last you have your operations. This is the fulfillment, your cash flow, finances, manufacturer, suppliers, your customer service. This is the backbone behind your business that's going to actually allow you to scale to those six, seven figure months."
48,0:18:41.806,0:18:58.930,00:18:41:48,00:18:58:56,17.124,"Most people trying to teach ecommerce right now are showing you some fake results about a store that they never had, or they show you some quick store that they got lucky on and end up dying in a couple months."
49,0:19:03.099,0:19:14.931,00:19:03:06,00:19:14:56,11.832,"A lot of these people are coming results that they actually never even had and what makes me different is that I'm actually doing this live right now and I've been documenting the process for the last two years."
50,0:19:30.354,0:19:37.360,00:19:30:21,00:19:37:22,7.006,"I'm currently in my storage unit right now as I see I got a lot of orders behind me and these are not fake orders I just spent the last two hours packing"
51,0:20:22.430,0:20:32.640,00:20:22:26,00:20:32:38,10.210,"I'm gonna be so honest with you guys there's a lot of things in my business that I'm still automating and growing but as an entrepreneur who's been doing this for two years this is something that I'm actually gonna still be doing"
52,0:20:36.460,0:20:41.732,00:20:36:28,00:20:41:44,5.272,"is because I'm building something long -term, not something that's going to die out in a couple of months."
53,0:20:54.192,0:21:04.668,00:20:54:12,00:21:04:40,10.476,"And if you work with me, this is something that you're going to actively be watching me as I grow, and you're going to be watching me make these big calls in my business while I'm still progressing and growing."
54,0:21:13.087,0:21:27.747,00:21:13:05,00:21:27:45,14.660,"Because let's be honest, you don't just learn from a course, you learn from somebody who's doing this in real time. And let's be honest, you don't just learn from a course or a textbook or a Google Doc, you learn from somebody who is actually doing this in real time"
55,0:21:49.021,0:21:51.942,00:21:49:01,00:21:51:57,2.921,"what I'm calling this is ecom essentials"
56,0:22:10.590,0:22:15.209,00:22:10:35,00:22:15:13,4.619,"is where you get direct access to me and my private channel and all of my knowledge."
57,0:22:50.990,0:23:03.653,00:22:50:59,00:23:03:39,12.663,"this is where we come into your business and actually help you scale. We look at what's working, what's not working, your content, your products, the whole nine yards, and actually help you get to that next level."
58,0:23:09.063,0:23:17.310,00:23:09:04,00:23:17:19,8.247,"We're helping with your website, your funnels, your offers, everything. We're helping you with everything from your website, your funnels, helping,"
59,0:23:19.910,0:23:26.190,00:23:19:55,00:23:26:11,6.280,"we're working with you help you optimize your website, increase your conversion rate, your funnels, your offers, your ads."
60,0:23:31.941,0:23:41.000,00:23:31:56,00:23:41:00,9.059,"You'll also have a community for like -minded people who you could connect with. You also have a community for like -minded people where you could connect and network"
61,0:24:19.422,0:24:29.080,00:24:19:25,00:24:29:05,9.658,"You also have direct access to the key modules we have packed with information going over the four pillars that you need to actually scale your e -commerce business using AI."
62,0:24:36.921,0:24:44.510,00:24:36:55,00:24:44:31,7.589,"But most importantly, this is where you're getting direct access to the AI systems that I'm using right now to help me scale my business."
63,0:25:01.993,0:25:07.210,00:25:02:00,00:25:07:13,5.217,"And also the prompts that I'm using from my images and my videos that's,"
64,0:25:28.230,0:25:36.300,00:25:28:14,00:25:36:18,8.070,"you'll also get access to the exact prompts that I'm using to create images and videos that's helping me market my brand."
65,0:25:53.540,0:25:57.049,00:25:53:32,00:25:57:03,3.509,"and I'm gonna let you in on a little secret. These E"
66,0:26:06.015,0:26:13.481,00:26:06:01,00:26:13:29,7.466,"I'm I'll let you in on a little secret. These AI ads that I'm using right now are so exclusive that I cannot just give them out to the public."
67,0:26:20.016,0:26:23.860,00:26:20:01,00:26:23:52,3.844,"That's why I'm giving you access to them into my private group, e -com essentials."
68,0:26:47.176,0:26:52.869,00:26:47:11,00:26:52:52,5.693,"And these are things that other people couldn't give you access to because I'm the only one who's doing it right now."
69,0:27:17.848,0:27:23.867,00:27:17:51,00:27:23:52,6.019,"You'll also get access to the live calls that we'll be having weekly to go over all of these things that we have mentioned."
70,0:27:36.022,0:27:47.129,00:27:36:01,00:27:47:08,11.107,"And a couple quick answers to some questions that you might be having one is oh I don't want to show my face what AI has actually solved that problem for me and a lot of other people that I've been helping"
71,0:28:04.680,0:28:09.812,00:28:04:41,00:28:09:49,5.132,"helped solve that problem for me and that's the first thing that we're going to be helping you get set up"
72,0:28:15.188,0:28:28.602,00:28:15:11,00:28:28:36,13.414,"you may be thinking oh e -commerce is saturated well the truth is e -commerce itself isn't saturated and it's something that's going to be along for a wrong time what's saturated is people coming to the space that don't actually know what they're doing."
73,0:28:42.332,0:28:47.624,00:28:42:20,00:28:47:37,5.292,"It's saturated with people guessing, don't know what they're doing and just trying to make quick money."
74,0:28:53.427,0:28:59.800,00:28:53:26,00:28:59:48,6.373,"What is not saturated with people who are actually running and operating a real business."
75,0:29:18.397,0:29:22.989,00:29:18:24,00:29:22:59,4.592,"or you may be thinking, Dez, I tried this already and I feel, what's gonna be different?"
76,0:29:33.017,0:29:42.174,00:29:33:01,00:29:42:10,9.157,"And to be honest, that's one of the best things because that means that you already tried, you failed, and you already put in the work and took the initiative to take action."
77,0:30:10.850,0:30:17.910,00:30:10:51,00:30:17:55,7.060,"most people never even start. They never even get a product. They never do any research. They're just stuck consuming information"
78,0:30:21.890,0:30:31.910,00:30:21:53,00:30:31:55,10.020,"the truth is you don't need to start over. You just need the proper knowledge, the proper information and the proper systems to actually run a real business in ecom using AI"
79,0:30:34.440,0:30:39.240,00:30:34:26,00:30:39:14,4.800,"that's exact and it's in an ecom essentials that's exactly what we help"
80,0:30:57.217,0:31:04.960,00:30:57:13,00:31:04:58,7.743,"and I'm gonna be I'm gonna be so honest if you're looking for a store by tomorrow and 10 grand by the next two weeks I am not the person to work"
81,0:31:11.860,0:31:16.080,00:31:11:52,00:31:16:05,4.220,"but if you're trying to build a business on term that's exactly what we help"
82,0:31:33.867,0:31:42.313,00:31:33:52,00:31:42:19,8.446,"ecom essentials this is a one -on -one program where we work closely with you one -on -one. This is not something where we just have a lot of people and e"
83,0:32:05.975,0:32:11.677,00:32:05:58,00:32:11:41,5.702,"We're looking for people who are ready to put into work, take action and build a business long -term."
84,0:32:26.067,0:32:33.024,00:32:26:04,00:32:33:01,6.957,"I'm still I'm making multiple six figures running my brand out of my storage unit So you don't need a lot to start"
85,0:32:47.700,0:32:50.520,00:32:47:42,00:32:50:31,2.820,"don't need a big 5 ,000 square foot warehouse"
86,0:32:58.220,0:33:04.960,00:32:58:13,00:33:04:58,6.740,"to be cook to be completely honest now with AI and with the right system You don't even need to hold any inventory"
87,0:33:24.587,0:33:28.440,00:33:24:35,00:33:28:26,3.853,"I only take a couple calls a week because I'm not trying to work with everybody."
